dataset,caseId,globalCaseId,name,bucket,humanRangeText,humanAmountMinM,humanAmountMaxM,humanMidpointM,v1Tier,v1RangeText,v1RangeMinM,v1RangeMaxM,v1PointM,v2PointM,v1PointGapToHumanRangeM,v2PointGapToHumanRangeM,deltaPointGapM,v2PointDirection,v2Severe,riskFlags,tradeExploitRiskFlag,scoreTierReturnedTier,scoreTierReason,allTierGateResultsJson,passedTierGates,failedHigherTierGates,nearestHigherTierCandidate,nearestHigherTierFailedBecause,topBlockingConditions,topPositiveSignals,topNegativeSignals,marginToNearestHigherTier,marginToCurrentTierFloor,whetherTierWasHardGateOrScoreBased,missingFieldsUsedByTierLogic,rangeSourceTier,rangeBaseMinM,rangeBaseMaxM,rangeFinalMinM,rangeFinalMaxM,rangeCeilingReason,rangeFloorReason,eligibleMaxM,minContractM,rangeWasCappedByEligibleMax,rangeWasFlooredByMinimum,rangeWasLockedLow,rangeCeilingGapToHumanMinM,tierPlacementScore,currentImpactComponent,roleCertaintyComponent,futureUpsideComponent,skillPortabilityComponent,archetypeRiskComponent,ageYearsRiskComponent,productionReliabilityComponent,v2PointPlacementReason,v2PointNearRangeCeiling,v2PointNearRangeFloor,v2CouldNotEscapeRange,primaryMechanisticCause,secondaryMechanisticCauses,confidence,overfitRisk,isSingleCaseOnly,appearsInMultipleCases,appearsAcrossDatasets,hasControlCases,notes
boundary40,D-01,B40-13,Simisola Shittu,good_rotation_specialist,$3.00M-$5.00M,3,5,4,MINIMUM_LEVEL,$2.94M-$3.38M,2.94,3.38,3.16,3.13,0,0,0,inside,no,,none,MINIMUM_LEVEL,"falls through to minimum after role, production, age, and archetype checks","[{""tier"":""SUPERSTAR_MAX"",""passed"":false,""reason"":""elite BBGM value, full-time starter load, superstar production, and high usage composite"",""passedConditions"":[],""failedConditions"":[""value >= 70"",""valueNoPot >= 67"",""getContractValue >= 68"",""fullTimeStarter"",""superstarProduction"",""comp_usage >= 0.70""],""failedDetails"":[{""label"":""value >= 70"",""field"":""value"",""value"":54.817,""op"":"">="",""threshold"":70,""margin"":-0.2169},{""label"":""valueNoPot >= 67"",""field"":""valueNoPot"",""value"":53.409,""op"":"">="",""threshold"":67,""margin"":-0.2028},{""label"":""getContractValue >= 68"",""field"":""getContractValue"",""value"":53.691,""op"":"">="",""threshold"":68,""margin"":-0.2104},{""label"":""fullTimeStarter"",""field"":""GP+MPG+starterShare"",""value"":""GP >= 50=true; MPG >= 28=false; starterShare >= 0.75=false"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""superstarProduction"",""field"":""PER+EWA+VORP+BPM+USG"",""value"":""PER >= 25=false; EWA >= 12=false; VORP >= 5=false; BPM >= 6=false; USG >= 28=false"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""comp_usage >= 0.70"",""field"":""comp_usage"",""value"":0.477,""op"":"">="",""threshold"":0.7,""margin"":-0.2231}],""missingFields"":[],""minMargin"":-1,""positiveMarginCount"":0,""failedCount"":6},{""tier"":""STAR_NEAR_MAX"",""passed"":false,""reason"":""contractValue/valueNoPot clear star threshold with full starter role and strong EWA/VORP/BPM"",""passedConditions"":[],""failedConditions"":[""getContractValue >= 65"",""valueNoPot >= 65"",""fullTimeStarter"",""starProduction""],""failedDetails"":[{""label"":""getContractValue >= 65"",""field"":""getContractValue"",""value"":53.691,""op"":"">="",""threshold"":65,""margin"":-0.174},{""label"":""valueNoPot >= 65"",""field"":""valueNoPot"",""value"":53.409,""op"":"">="",""threshold"":65,""margin"":-0.1783},{""label"":""fullTimeStarter"",""field"":""GP+MPG+starterShare"",""value"":""GP >= 50=true; MPG >= 28=false; starterShare >= 0.75=false"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""starProduction"",""field"":""PER+EWA+VORP+BPM"",""value"":""PER >= 20=false; EWA >= 8=false; VORP >= 3=false; BPM >= 3=false"",""op"":""is"",""threshold"":""true"",""margin"":-1}],""missingFields"":[],""minMargin"":-1,""positiveMarginCount"":0,""failedCount"":4},{""tier"":""YOUNG_PROVEN_STARTER"",""passed"":false,""reason"":""young established starter with BBGM contractValue/value and production support"",""passedConditions"":[""age <= 26""],""failedConditions"":[""establishedStarter"",""getContractValue >= 59"",""value >= 60"",""highProduction OR BPM >= 1 OR EWA >= 5""],""failedDetails"":[{""label"":""establishedStarter"",""field"":""GP+MPG+starterShare"",""value"":""GP >= 50=true; MPG >= 26=false; starterShare >= 0.55=false"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""getContractValue >= 59"",""field"":""getContractValue"",""value"":53.691,""op"":"">="",""threshold"":59,""margin"":-0.09},{""label"":""value >= 60"",""field"":""value"",""value"":54.817,""op"":"">="",""threshold"":60,""margin"":-0.0864},{""label"":""highProduction OR BPM >= 1 OR EWA >= 5"",""field"":""PER+EWA+VORP+BPM|BPM|EWA"",""value"":""highProduction:failed; BPM >= 1:-1.745; EWA >= 5:-0.065"",""op"":""any"",""threshold"":""any"",""margin"":-1}],""missingFields"":[],""minMargin"":-1,""positiveMarginCount"":1,""failedCount"":4},{""tier"":""LOW_END_STARTER"",""passed"":false,""reason"":""starter role and adequate BBGM current value with at least neutral production support"",""passedConditions"":[],""failedConditions"":[""establishedStarter"",""valueNoPot >= 56"",""getContractValue >= 55"",""PER >= 13 OR EWA >= 2 OR VORP >= 0.2""],""failedDetails"":[{""label"":""establishedStarter"",""field"":""GP+MPG+starterShare"",""value"":""GP >= 50=true; MPG >= 26=false; starterShare >= 0.55=false"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""valueNoPot >= 56"",""field"":""valueNoPot"",""value"":53.409,""op"":"">="",""threshold"":56,""margin"":-0.0463},{""label"":""getContractValue >= 55"",""field"":""getContractValue"",""value"":53.691,""op"":"">="",""threshold"":55,""margin"":-0.0238},{""label"":""PER >= 13 OR EWA >= 2 OR VORP >= 0.2"",""field"":""PER|EWA|VORP"",""value"":""PER >= 13:11.389; EWA >= 2:-0.065; VORP >= 0.2:0.095"",""op"":""any"",""threshold"":""any"",""margin"":-0.1046}],""missingFields"":[],""minMargin"":-1,""positiveMarginCount"":0,""failedCount"":4},{""tier"":""VETERAN_ROTATION_GUARD"",""passed"":false,""reason"":""veteran guard creator profile with rotation minutes, passing composite, and positive production"",""passedConditions"":[""MPG >= 18"",""valueNoPot >= 52""],""failedConditions"":[""age >= 28"",""pos includes G"",""AST% >= 14"",""comp_passing >= 0.60"",""PER >= 13"",""EWA >= 2""],""failedDetails"":[{""label"":""age >= 28"",""field"":""age"",""value"":25,""op"":"">="",""threshold"":28,""margin"":-0.1071},{""label"":""pos includes G"",""field"":""pos"",""value"":""PF"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""AST% >= 14"",""field"":""AST%"",""value"":4.352,""op"":"">="",""threshold"":14,""margin"":-0.6891},{""label"":""comp_passing >= 0.60"",""field"":""comp_passing"",""value"":0.401,""op"":"">="",""threshold"":0.6,""margin"":-0.1989},{""label"":""PER >= 13"",""field"":""PER"",""value"":11.389,""op"":"">="",""threshold"":13,""margin"":-0.1239},{""label"":""EWA >= 2"",""field"":""EWA"",""value"":-0.065,""op"":"">="",""threshold"":2,""margin"":-1.0327}],""missingFields"":[],""minMargin"":-1.0327,""positiveMarginCount"":2,""failedCount"":6},{""tier"":""YOUNG_UPSIDE_SUSPECT"",""passed"":false,""reason"":""young player with pot/premium upside but not enough starter role or production certainty"",""passedConditions"":[""not establishedStarter""],""failedConditions"":[""age <= 24"",""pot >= 65"",""potentialPremium >= 4"",""value >= 57""],""failedDetails"":[{""label"":""age <= 24"",""field"":""age"",""value"":25,""op"":""<="",""threshold"":24,""margin"":-0.0417},{""label"":""pot >= 65"",""field"":""pot"",""value"":62,""op"":"">="",""threshold"":65,""margin"":-0.0462},{""label"":""potentialPremium >= 4"",""field"":""potentialPremium"",""value"":1.408,""op"":"">="",""threshold"":4,""margin"":-0.648},{""label"":""value >= 57"",""field"":""value"",""value"":54.817,""op"":"">="",""threshold"":57,""margin"":-0.0383}],""missingFields"":[],""minMargin"":-0.648,""positiveMarginCount"":1,""failedCount"":4},{""tier"":""SPECIALIST_ROTATION"",""passed"":false,""reason"":""rotation sample with strong shootingThreePointer composite and 3 skill margin"",""passedConditions"":[""valueNoPot >= 50"",""GP >= 50"",""MPG >= 10""],""failedConditions"":[""skill_3_margin >= 0.08"",""comp_shootingThreePointer >= 0.68"",""comp_usage >= 0.50""],""failedDetails"":[{""label"":""skill_3_margin >= 0.08"",""field"":""skill_3_margin"",""value"":-0.194,""op"":"">="",""threshold"":0.08,""margin"":-0.2736},{""label"":""comp_shootingThreePointer >= 0.68"",""field"":""comp_shootingThreePointer"",""value"":0.376,""op"":"">="",""threshold"":0.68,""margin"":-0.3036},{""label"":""comp_usage >= 0.50"",""field"":""comp_usage"",""value"":0.477,""op"":"">="",""threshold"":0.5,""margin"":-0.0231}],""missingFields"":[],""minMargin"":-0.3036,""positiveMarginCount"":3,""failedCount"":3},{""tier"":""VETERAN_MINIMUM_PLUS"",""passed"":false,""reason"":""older frontcourt player with rebound/defense composite value but limited role/value ceiling"",""passedConditions"":[""frontcourt pos"",""frontcourt rebound/defense signal"",""valueNoPot >= 50""],""failedConditions"":[""age >= 30"",""PER >= 12""],""failedDetails"":[{""label"":""age >= 30"",""field"":""age"",""value"":25,""op"":"">="",""threshold"":30,""margin"":-0.1667},{""label"":""PER >= 12"",""field"":""PER"",""value"":11.389,""op"":"">="",""threshold"":12,""margin"":-0.0509}],""missingFields"":[],""minMargin"":-0.1667,""positiveMarginCount"":3,""failedCount"":2},{""tier"":""LOW_ROTATION_PLUS"",""passed"":false,""reason"":""small but real regular-season role with non-poor production and BBGM current value above replacement"",""passedConditions"":[""GP >= 40"",""MPG >= 6"",""age < 30"",""valueNoPot >= 50""],""failedConditions"":[""MPG < 16"",""not poorProduction""],""failedDetails"":[{""label"":""MPG < 16"",""field"":""MPG"",""value"":18.119,""op"":""<="",""threshold"":16,""margin"":-0.1324},{""label"":""not poorProduction"",""field"":""PER+EWA+BPM"",""value"":""poorProduction=true"",""op"":""is"",""threshold"":""true"",""margin"":-1}],""missingFields"":[],""minMargin"":-1,""positiveMarginCount"":4,""failedCount"":2}]",,,VETERAN_MINIMUM_PLUS,age >= 30; PER >= 12,age >= 30; PER >= 12,,,failed 2; minMargin -0.167,fallback/no explicit floor,"hard if/else gate, not weighted score",,MINIMUM_LEVEL,2.94,3.381,2.94,3.381,1.15x player minimum,1x player minimum,38.663,2.94,no,no,no,0,0.423668,0.2158,0.4316,0.2263,0.461,0,0,0.3994,"placement=42.4%; range=2.94-3.38M; point=3.13M; low components: futureUpsideComponent=0.23, currentImpactComponent=0.22",yes,yes,no,aligned_or_control,,medium,low,no,yes,yes,yes,
boundary40,D-02,B40-14,Jordan Poole,good_rotation_specialist,$6.00M-$10.00M,6,10,8,LOW_ROTATION_PLUS,$3.09M-$5.41M,3.09,5.41,4.25,4.12,1.75,1.88,0.13,too_low,no,,none,LOW_ROTATION_PLUS,small but real regular-season role with non-poor production and BBGM current value above replacement,"[{""tier"":""SUPERSTAR_MAX"",""passed"":false,""reason"":""elite BBGM value, full-time starter load, superstar production, and high usage composite"",""passedConditions"":[],""failedConditions"":[""value >= 70"",""valueNoPot >= 67"",""getContractValue >= 68"",""fullTimeStarter"",""superstarProduction"",""comp_usage >= 0.70""],""failedDetails"":[{""label"":""value >= 70"",""field"":""value"",""value"":55.931,""op"":"">="",""threshold"":70,""margin"":-0.201},{""label"":""valueNoPot >= 67"",""field"":""valueNoPot"",""value"":55.55,""op"":"">="",""threshold"":67,""margin"":-0.1709},{""label"":""getContractValue >= 68"",""field"":""getContractValue"",""value"":55.626,""op"":"">="",""threshold"":68,""margin"":-0.182},{""label"":""fullTimeStarter"",""field"":""GP+MPG+starterShare"",""value"":""GP >= 50=true; MPG >= 28=false; starterShare >= 0.75=false"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""superstarProduction"",""field"":""PER+EWA+VORP+BPM+USG"",""value"":""PER >= 25=false; EWA >= 12=false; VORP >= 5=false; BPM >= 6=false; USG >= 28=false"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""comp_usage >= 0.70"",""field"":""comp_usage"",""value"":0.558,""op"":"">="",""threshold"":0.7,""margin"":-0.1415}],""missingFields"":[],""minMargin"":-1,""positiveMarginCount"":0,""failedCount"":6},{""tier"":""STAR_NEAR_MAX"",""passed"":false,""reason"":""contractValue/valueNoPot clear star threshold with full starter role and strong EWA/VORP/BPM"",""passedConditions"":[],""failedConditions"":[""getContractValue >= 65"",""valueNoPot >= 65"",""fullTimeStarter"",""starProduction""],""failedDetails"":[{""label"":""getContractValue >= 65"",""field"":""getContractValue"",""value"":55.626,""op"":"">="",""threshold"":65,""margin"":-0.1442},{""label"":""valueNoPot >= 65"",""field"":""valueNoPot"",""value"":55.55,""op"":"">="",""threshold"":65,""margin"":-0.1454},{""label"":""fullTimeStarter"",""field"":""GP+MPG+starterShare"",""value"":""GP >= 50=true; MPG >= 28=false; starterShare >= 0.75=false"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""starProduction"",""field"":""PER+EWA+VORP+BPM"",""value"":""PER >= 20=false; EWA >= 8=false; VORP >= 3=false; BPM >= 3=false"",""op"":""is"",""threshold"":""true"",""margin"":-1}],""missingFields"":[],""minMargin"":-1,""positiveMarginCount"":0,""failedCount"":4},{""tier"":""YOUNG_PROVEN_STARTER"",""passed"":false,""reason"":""young established starter with BBGM contractValue/value and production support"",""passedConditions"":[""age <= 26""],""failedConditions"":[""establishedStarter"",""getContractValue >= 59"",""value >= 60"",""highProduction OR BPM >= 1 OR EWA >= 5""],""failedDetails"":[{""label"":""establishedStarter"",""field"":""GP+MPG+starterShare"",""value"":""GP >= 50=true; MPG >= 26=false; starterShare >= 0.55=false"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""getContractValue >= 59"",""field"":""getContractValue"",""value"":55.626,""op"":"">="",""threshold"":59,""margin"":-0.0572},{""label"":""value >= 60"",""field"":""value"",""value"":55.931,""op"":"">="",""threshold"":60,""margin"":-0.0678},{""label"":""highProduction OR BPM >= 1 OR EWA >= 5"",""field"":""PER+EWA+VORP+BPM|BPM|EWA"",""value"":""highProduction:failed; BPM >= 1:-0.603; EWA >= 5:1.719"",""op"":""any"",""threshold"":""any"",""margin"":-0.6563}],""missingFields"":[],""minMargin"":-1,""positiveMarginCount"":1,""failedCount"":4},{""tier"":""LOW_END_STARTER"",""passed"":false,""reason"":""starter role and adequate BBGM current value with at least neutral production support"",""passedConditions"":[""getContractValue >= 55"",""PER >= 13 OR EWA >= 2 OR VORP >= 0.2""],""failedConditions"":[""establishedStarter"",""valueNoPot >= 56""],""failedDetails"":[{""label"":""establishedStarter"",""field"":""GP+MPG+starterShare"",""value"":""GP >= 50=true; MPG >= 26=false; starterShare >= 0.55=false"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""valueNoPot >= 56"",""field"":""valueNoPot"",""value"":55.55,""op"":"">="",""threshold"":56,""margin"":-0.008}],""missingFields"":[],""minMargin"":-1,""positiveMarginCount"":2,""failedCount"":2},{""tier"":""VETERAN_ROTATION_GUARD"",""passed"":false,""reason"":""veteran guard creator profile with rotation minutes, passing composite, and positive production"",""passedConditions"":[""pos includes G"",""AST% >= 14"",""comp_passing >= 0.60"",""valueNoPot >= 52"",""PER >= 13""],""failedConditions"":[""age >= 28"",""MPG >= 18"",""EWA >= 2""],""failedDetails"":[{""label"":""age >= 28"",""field"":""age"",""value"":26,""op"":"">="",""threshold"":28,""margin"":-0.0714},{""label"":""MPG >= 18"",""field"":""MPG"",""value"":15.635,""op"":"">="",""threshold"":18,""margin"":-0.1314},{""label"":""EWA >= 2"",""field"":""EWA"",""value"":1.719,""op"":"">="",""threshold"":2,""margin"":-0.1407}],""missingFields"":[],""minMargin"":-0.1407,""positiveMarginCount"":5,""failedCount"":3},{""tier"":""YOUNG_UPSIDE_SUSPECT"",""passed"":false,""reason"":""young player with pot/premium upside but not enough starter role or production certainty"",""passedConditions"":[""not establishedStarter""],""failedConditions"":[""age <= 24"",""pot >= 65"",""potentialPremium >= 4"",""value >= 57""],""failedDetails"":[{""label"":""age <= 24"",""field"":""age"",""value"":26,""op"":""<="",""threshold"":24,""margin"":-0.0833},{""label"":""pot >= 65"",""field"":""pot"",""value"":62,""op"":"">="",""threshold"":65,""margin"":-0.0462},{""label"":""potentialPremium >= 4"",""field"":""potentialPremium"",""value"":0.38,""op"":"">="",""threshold"":4,""margin"":-0.9049},{""label"":""value >= 57"",""field"":""value"",""value"":55.931,""op"":"">="",""threshold"":57,""margin"":-0.0188}],""missingFields"":[],""minMargin"":-0.9049,""positiveMarginCount"":1,""failedCount"":4},{""tier"":""SPECIALIST_ROTATION"",""passed"":false,""reason"":""rotation sample with strong shootingThreePointer composite and 3 skill margin"",""passedConditions"":[""comp_shootingThreePointer >= 0.68"",""comp_usage >= 0.50"",""valueNoPot >= 50"",""GP >= 50"",""MPG >= 10""],""failedConditions"":[""skill_3_margin >= 0.08""],""failedDetails"":[{""label"":""skill_3_margin >= 0.08"",""field"":""skill_3_margin"",""value"":0.079,""op"":"">="",""threshold"":0.08,""margin"":-0.0009}],""missingFields"":[],""minMargin"":-0.0009,""positiveMarginCount"":5,""failedCount"":1},{""tier"":""VETERAN_MINIMUM_PLUS"",""passed"":false,""reason"":""older frontcourt player with rebound/defense composite value but limited role/value ceiling"",""passedConditions"":[""PER >= 12"",""valueNoPot >= 50""],""failedConditions"":[""age >= 30"",""frontcourt pos"",""frontcourt rebound/defense signal""],""failedDetails"":[{""label"":""age >= 30"",""field"":""age"",""value"":26,""op"":"">="",""threshold"":30,""margin"":-0.1333},{""label"":""frontcourt pos"",""field"":""pos"",""value"":""G"",""op"":""is"",""threshold"":""true"",""margin"":-1},{""label"":""frontcourt rebound/defense signal"",""field"":""comp_rebounding|comp_defenseInterior|skill_R_margin|skill_Di_margin"",""value"":""comp_rebounding >= 0.64:0.409; comp_defenseInterior >= 0.62:0.452; skill_R_margin >= 0.05:-0.219; skill_Di_margin >= 0.05:-0.137"",""op"":""any"",""threshold"":""any"",""margin"":-0.1685}],""missingFields"":[],""minMargin"":-1,""positiveMarginCount"":2,""failedCount"":3},{""tier"":""LOW_ROTATION_PLUS"",""passed"":true,""reason"":""small but real regular-season role with non-poor production and BBGM current value above replacement"",""passedConditions"":[""GP >= 40"",""MPG >= 6"",""MPG < 16"",""age < 30"",""valueNoPot >= 50"",""not poorProduction""],""failedConditions"":[],""failedDetails"":[],""missingFields"":[],""minMargin"":0.0228,""positiveMarginCount"":6,""failedCount"":0}]",LOW_ROTATION_PLUS,SUPERSTAR_MAX; STAR_NEAR_MAX; YOUNG_PROVEN_STARTER; LOW_END_STARTER; VETERAN_ROTATION_GUARD; YOUNG_UPSIDE_SUSPECT; SPECIALIST_ROTATION; VETERAN_MINIMUM_PLUS,SPECIALIST_ROTATION,skill_3_margin >= 0.08,skill_3_margin >= 0.08,,limited role/minutes,failed 1; minMargin -0.001,minMargin 0.023,"hard if/else gate, not weighted score",,LOW_ROTATION_PLUS,3.093,5.41275,3.093,5.41275,3.5% salary cap ceiling,2.0% salary cap floor,38.663,2.94,no,no,yes,0.58725,0.443169,0.2833,0.4074,0.1936,0.432,0,0,0.4924,"placement=44.3%; range=3.09-5.41M; point=4.12M; low components: currentImpactComponent=0.28, futureUpsideComponent=0.19",no,no,yes,v1_base_tier_range_ceiling_below_human,"failed higher gates: SUPERSTAR_MAX, STAR_NEAR_MAX, YOUNG_PROVEN_STARTER, LOW_END_STARTER, VETERAN_ROTATION_GUARD, YOUNG_UPSIDE_SUSPECT, SPECIALIST_ROTATION, VETERAN_MINIMUM_PLUS; range ceiling below human minimum",medium,low,no,yes,yes,no,
