section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
signal_combination,HIGH_END_ROTATION,,,,real role fallback: MPG >= 22; creator/scorer core; connector/defense core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,HIGH_END_ROTATION,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; young productive core; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,HIGH_END_ROTATION,,,,real role fallback: MPG >= 22; young productive core; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,HIGH_END_ROTATION,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55,1,3.0%,
signal_combination,HIGH_END_ROTATION,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; creator/scorer core; value support: valueNoPot >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,HIGH_END_ROTATION,,,,real role fallback: GP >= 55 and MPG >= 20; portable shooting core; young productive core; value support: contractValue >= 55,1,3.0%,
signal_combination,HIGH_END_ROTATION,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; portable shooting core; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,HIGH_END_ROTATION,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; creator/scorer core; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,HIGH_END_ROTATION,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; young productive core; value support: contractValue >= 55,1,3.0%,
signal_combination,HIGH_END_ROTATION,,,,real role fallback: MPG >= 22; creator/scorer core; portable shooting core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,HIGH_END_ROTATION,,,,real role fallback: MPG >= 22; portable shooting core; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
