pool,model,tier,count,tierMinCapPct,tierMidpointCapPct,tierMaxCapPct,totalImpliedMinCapPct,totalImpliedMidpointCapPct,totalImpliedMaxCapPct,impliedMidpointCapPctPer30Teams,deltaTotalMidpointCapPctVsCurrent
contract_relevant,current,__TOTAL__,322,2.841,3.273,3.704,914.844,1053.83,1192.815,35.128,0
contract_relevant,candidate,STAR_NEAR_MAX,5,26.4,28.2,30,132.001,141.001,150,4.7,0
contract_relevant,candidate,HIGH_IMPACT_STARTER,21,17,19.75,22.5,357.007,414.752,472.497,13.825,414.752
contract_relevant,candidate,YOUNG_PROVEN_STARTER,6,17,19.75,22.5,102.002,118.5,134.999,3.95,-19.75
contract_relevant,candidate,SOLID_STARTER,7,12,14.5,17,84,101.501,119.002,3.383,101.501
contract_relevant,candidate,HIGH_END_ROTATION,2,7,9.5,12,14.001,19,24,0.633,19
contract_relevant,candidate,LOW_END_STARTER,13,6,9,12,78,117,156,3.9,-45
contract_relevant,candidate,SPECIALIST_ROTATION,11,3.5,4.5,5.5,38.502,49.502,60.502,1.65,22.501
contract_relevant,candidate,YOUNG_UPSIDE_SUSPECT,1,2.5,3.5,4.5,2.5,3.5,4.5,0.117,-13.999
contract_relevant,candidate,VETERAN_ROTATION_GUARD,2,4,5,6,8,10,12,0.333,-15
contract_relevant,candidate,LOW_ROTATION_PLUS,35,2.154,2.827,3.5,75.399,98.952,122.506,3.298,90.702
contract_relevant,candidate,VETERAN_MINIMUM_PLUS,1,2.399,2.95,3.5,2.399,2.95,3.5,0.098,-5.789
contract_relevant,candidate,MINIMUM_LEVEL,218,1.763,1.895,2.028,384.371,413.219,442.067,13.774,-112.87
contract_relevant,candidate,__TOTAL__,322,3.97,4.627,5.284,1278.181,1489.876,1701.572,49.663,436.047
top15_roster_proxy,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
top15_roster_proxy,current,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
top15_roster_proxy,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
top15_roster_proxy,current,LOW_END_STARTER,58,6,9,12,348,522,696,17.4,0
top15_roster_proxy,current,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
top15_roster_proxy,current,YOUNG_UPSIDE_SUSPECT,25,2.5,3.5,4.5,62.496,87.496,112.496,2.917,0
top15_roster_proxy,current,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
top15_roster_proxy,current,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
top15_roster_proxy,current,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
top15_roster_proxy,current,MINIMUM_LEVEL,270,1.839,1.977,2.115,496.618,533.885,571.151,17.796,0
top15_roster_proxy,current,__TOTAL__,431,4.517,5.356,6.195,1947.002,2308.575,2670.147,76.952,0
top15_roster_proxy,candidate,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
top15_roster_proxy,candidate,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
top15_roster_proxy,candidate,HIGH_IMPACT_STARTER,71,17,19.75,22.5,1207.023,1402.256,1597.489,46.742,1402.256
top15_roster_proxy,candidate,YOUNG_PROVEN_STARTER,16,17,19.75,22.5,272.005,316.001,359.997,10.533,-158.001
top15_roster_proxy,candidate,SOLID_STARTER,29,12,14.5,17,348,420.505,493.009,14.017,420.505
top15_roster_proxy,candidate,HIGH_END_ROTATION,5,7,9.5,12,35.002,47.501,60,1.583,47.501
top15_roster_proxy,candidate,LOW_END_STARTER,53,6,9,12,318,477,636,15.9,-45
top15_roster_proxy,candidate,SPECIALIST_ROTATION,21,3.5,4.5,5.5,73.503,94.503,115.503,3.15,63.002
top15_roster_proxy,candidate,YOUNG_UPSIDE_SUSPECT,10,2.5,3.5,4.5,24.998,34.998,44.998,1.167,-52.498
top15_roster_proxy,candidate,VETERAN_ROTATION_GUARD,2,4,5,6,8,10,12,0.333,-55
top15_roster_proxy,candidate,LOW_ROTATION_PLUS,79,2.106,2.803,3.5,166.38,221.446,276.513,7.382,196.696
top15_roster_proxy,candidate,VETERAN_MINIMUM_PLUS,2,2.399,2.95,3.5,4.798,5.899,7,0.197,-8.739
top15_roster_proxy,candidate,MINIMUM_LEVEL,123,1.719,1.848,1.977,211.426,227.294,243.162,7.576,-306.591
top15_roster_proxy,candidate,__TOTAL__,431,7.412,8.846,10.28,3194.739,3812.706,4430.673,127.09,1504.132
