variant,pool,model,tier,count,percentage,percentageText,avgAge,avgMPG,avgValue,avgValueNoPot,avgGetContractValue,avgPER,avgEWA,avgVORP,avgBPM
A,top15_roster_proxy,current,YOUNG_PROVEN_STARTER,24,0.055684,5.6%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
A,top15_roster_proxy,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
A,top15_roster_proxy,current,LOW_END_STARTER,58,0.134571,13.5%,28.552,29.953,57.208,59.047,58.834,16.784,4.954,1.856,1.487
A,top15_roster_proxy,current,SPECIALIST_ROTATION,7,0.016241,1.6%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
A,top15_roster_proxy,current,YOUNG_UPSIDE_SUSPECT,25,0.058005,5.8%,21.8,18.937,60.162,53.598,55.3,13.338,1.475,0.226,-1.546
A,top15_roster_proxy,current,VETERAN_ROTATION_GUARD,13,0.030162,3.0%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
A,top15_roster_proxy,current,LOW_ROTATION_PLUS,9,0.020882,2.1%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
A,top15_roster_proxy,current,VETERAN_MINIMUM_PLUS,5,0.011601,1.2%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
A,top15_roster_proxy,current,MINIMUM_LEVEL,270,0.62645,62.6%,26.548,13.815,50.096,49.515,49.832,10.522,0.349,-0.163,-3.772
A,top15_roster_proxy,A,SUPERSTAR_MAX,3,0.006961,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
A,top15_roster_proxy,A,STAR_NEAR_MAX,17,0.039443,3.9%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
A,top15_roster_proxy,A,YOUNG_PROVEN_STARTER,24,0.055684,5.6%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
A,top15_roster_proxy,A,SOLID_STARTER,17,0.039443,3.9%,29.529,32.327,58.476,61.956,61.445,19.432,7.648,3.337,3.894
