variant,section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
A,entrant_signal_pass_count,SOLID_STARTER,,,,role: starterShare >= 0.6,19,100.0%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,role: GS >= 41,19,100.0%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,role: MPG >= 30,17,89.5%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,value core: valueNoPot >= 59 and contractValue >= 59,19,100.0%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,production: BPM >= 0.5,19,100.0%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,production: EWA >= 4,19,100.0%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,production: VORP >= 0.8,19,100.0%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,production: PER >= 15.5,19,100.0%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,extra: BPM >= 1,18,94.7%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,extra: EWA >= 5,16,84.2%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,extra: VORP >= 1,19,100.0%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,extra: PER >= 16,18,94.7%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,extra: defense/rebounding/connector support,19,100.0%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,extra: shooting/spacing support,3,15.8%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,extra: age <= 27 with value/pot support,4,21.1%,
A,entrant_signal_pass_count,SOLID_STARTER,,,,BPM<0 exception path,0,0.0%,
A,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.6; role: GS >= 41; role: MPG >= 30; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support,10,52.6%,
A,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.6; role: GS >= 41; role: MPG >= 30; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support; extra: shooting/spacing support,2,10.5%,
