variant,pool,model,tier,count,tierMinCapPct,tierMidpointCapPct,tierMaxCapPct,totalImpliedMinCapPct,totalImpliedMidpointCapPct,totalImpliedMaxCapPct,impliedMidpointCapPctPer30Teams,deltaTotalMidpointCapPctVsCurrent
C,contract_relevant,current,YOUNG_PROVEN_STARTER,7,17,19.75,22.5,119.002,138.251,157.499,4.608,0
C,contract_relevant,current,LOW_END_STARTER,18,6,9,12,108,162,216,5.4,0
C,contract_relevant,current,SPECIALIST_ROTATION,6,3.5,4.5,5.5,21.001,27.001,33.001,0.9,0
C,contract_relevant,current,YOUNG_UPSIDE_SUSPECT,5,2.5,3.5,4.5,12.499,17.499,22.499,0.583,0
C,contract_relevant,current,VETERAN_ROTATION_GUARD,5,4,5,6,20,25,30,0.833,0
C,contract_relevant,current,LOW_ROTATION_PLUS,3,2,2.75,3.5,6,8.25,10.5,0.275,0
C,contract_relevant,current,VETERAN_MINIMUM_PLUS,3,2.326,2.913,3.5,6.977,8.739,10.5,0.291,0
C,contract_relevant,current,MINIMUM_LEVEL,270,1.812,1.948,2.085,489.363,526.089,562.815,17.536,0
C,contract_relevant,current,__TOTAL__,322,2.841,3.273,3.704,914.844,1053.83,1192.815,35.128,0
C,contract_relevant,C,STAR_NEAR_MAX,5,26.4,28.2,30,132.001,141.001,150,4.7,0
C,contract_relevant,C,YOUNG_PROVEN_STARTER,7,17,19.75,22.5,119.002,138.251,157.499,4.608,0
C,contract_relevant,C,SOLID_STARTER,4,12,14.5,17,48,58.001,68.001,1.933,58.001
C,contract_relevant,C,LOW_END_STARTER,14,6,9,12,84,126,168,4.2,-36
C,contract_relevant,C,SPECIALIST_ROTATION,6,3.5,4.5,5.5,21.001,27.001,33.001,0.9,0
C,contract_relevant,C,YOUNG_UPSIDE_SUSPECT,5,2.5,3.5,4.5,12.499,17.499,22.499,0.583,0
C,contract_relevant,C,VETERAN_ROTATION_GUARD,5,4,5,6,20,25,30,0.833,0
C,contract_relevant,C,LOW_ROTATION_PLUS,3,2,2.75,3.5,6,8.25,10.5,0.275,0
C,contract_relevant,C,VETERAN_MINIMUM_PLUS,3,2.326,2.913,3.5,6.977,8.739,10.5,0.291,0
C,contract_relevant,C,MINIMUM_LEVEL,270,1.812,1.948,2.085,489.363,526.089,562.815,17.536,0
C,contract_relevant,C,__TOTAL__,322,2.916,3.341,3.767,938.844,1075.83,1212.817,35.861,22.001
