variant,pool,model,tier,count,tierMinCapPct,tierMidpointCapPct,tierMaxCapPct,totalImpliedMinCapPct,totalImpliedMidpointCapPct,totalImpliedMaxCapPct,impliedMidpointCapPctPer30Teams,deltaTotalMidpointCapPctVsCurrent
A,top15_roster_proxy,A,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
A,top15_roster_proxy,A,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
A,top15_roster_proxy,A,SOLID_STARTER,17,12,14.5,17,204,246.503,289.005,8.217,246.503
A,top15_roster_proxy,A,LOW_END_STARTER,41,6,9,12,246,369,492,12.3,-153
A,top15_roster_proxy,A,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
A,top15_roster_proxy,A,YOUNG_UPSIDE_SUSPECT,25,2.5,3.5,4.5,62.496,87.496,112.496,2.917,0
A,top15_roster_proxy,A,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
A,top15_roster_proxy,A,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
A,top15_roster_proxy,A,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
A,top15_roster_proxy,A,MINIMUM_LEVEL,270,1.839,1.977,2.115,496.618,533.885,571.151,17.796,0
A,top15_roster_proxy,A,__TOTAL__,431,4.754,5.573,6.392,2049.002,2402.077,2755.153,80.069,93.503
A,contract_relevant,current,STAR_NEAR_MAX,5,26.4,28.2,30,132.001,141.001,150,4.7,0
A,contract_relevant,current,YOUNG_PROVEN_STARTER,7,17,19.75,22.5,119.002,138.251,157.499,4.608,0
A,contract_relevant,current,LOW_END_STARTER,18,6,9,12,108,162,216,5.4,0
A,contract_relevant,current,SPECIALIST_ROTATION,6,3.5,4.5,5.5,21.001,27.001,33.001,0.9,0
A,contract_relevant,current,YOUNG_UPSIDE_SUSPECT,5,2.5,3.5,4.5,12.499,17.499,22.499,0.583,0
A,contract_relevant,current,VETERAN_ROTATION_GUARD,5,4,5,6,20,25,30,0.833,0
A,contract_relevant,current,LOW_ROTATION_PLUS,3,2,2.75,3.5,6,8.25,10.5,0.275,0
A,contract_relevant,current,VETERAN_MINIMUM_PLUS,3,2.326,2.913,3.5,6.977,8.739,10.5,0.291,0
A,contract_relevant,current,MINIMUM_LEVEL,270,1.812,1.948,2.085,489.363,526.089,562.815,17.536,0
A,contract_relevant,current,__TOTAL__,322,2.841,3.273,3.704,914.844,1053.83,1192.815,35.128,0
A,contract_relevant,A,STAR_NEAR_MAX,5,26.4,28.2,30,132.001,141.001,150,4.7,0
A,contract_relevant,A,YOUNG_PROVEN_STARTER,7,17,19.75,22.5,119.002,138.251,157.499,4.608,0
A,contract_relevant,A,SOLID_STARTER,5,12,14.5,17,60,72.501,85.002,2.417,72.501
A,contract_relevant,A,LOW_END_STARTER,13,6,9,12,78,117,156,3.9,-45
A,contract_relevant,A,SPECIALIST_ROTATION,6,3.5,4.5,5.5,21.001,27.001,33.001,0.9,0
A,contract_relevant,A,YOUNG_UPSIDE_SUSPECT,5,2.5,3.5,4.5,12.499,17.499,22.499,0.583,0
A,contract_relevant,A,VETERAN_ROTATION_GUARD,5,4,5,6,20,25,30,0.833,0
A,contract_relevant,A,LOW_ROTATION_PLUS,3,2,2.75,3.5,6,8.25,10.5,0.275,0
A,contract_relevant,A,VETERAN_MINIMUM_PLUS,3,2.326,2.913,3.5,6.977,8.739,10.5,0.291,0
A,contract_relevant,A,MINIMUM_LEVEL,270,1.812,1.948,2.085,489.363,526.089,562.815,17.536,0
A,contract_relevant,A,__TOTAL__,322,2.934,3.358,3.782,944.844,1081.33,1217.817,36.044,27.501
B,all_active,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
B,all_active,current,STAR_NEAR_MAX,19,25.705,27.458,29.211,488.404,521.703,555.001,17.39,0
B,all_active,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
B,all_active,current,LOW_END_STARTER,63,6,9,12,378,567,756,18.9,0
B,all_active,current,SPECIALIST_ROTATION,9,3.5,4.5,5.5,31.501,40.501,49.501,1.35,0
B,all_active,current,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
