variant,pool,currentTier,candidateTier,count,percentageOfCurrentTier,percentageOfCurrentTierText,moveDirection,moveSteps,focusTransition
B,contract_relevant,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,3,1,100.0%,same,0,no
B,contract_relevant,MINIMUM_LEVEL,MINIMUM_LEVEL,270,1,100.0%,same,0,no
C,all_active,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
C,all_active,STAR_NEAR_MAX,STAR_NEAR_MAX,19,1,100.0%,same,0,no
C,all_active,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
C,all_active,LOW_END_STARTER,SOLID_STARTER,10,0.15873,15.9%,up,1,yes
C,all_active,LOW_END_STARTER,LOW_END_STARTER,53,0.84127,84.1%,same,0,no
C,all_active,SPECIALIST_ROTATION,SPECIALIST_ROTATION,9,1,100.0%,same,0,no
C,all_active,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,26,1,100.0%,same,0,no
C,all_active,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,14,1,100.0%,same,0,no
C,all_active,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,10,1,100.0%,same,0,no
C,all_active,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,6,1,100.0%,same,0,no
C,all_active,MINIMUM_LEVEL,MINIMUM_LEVEL,460,1,100.0%,same,0,no
C,rostered_active,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
C,rostered_active,STAR_NEAR_MAX,STAR_NEAR_MAX,17,1,100.0%,same,0,no
C,rostered_active,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
C,rostered_active,LOW_END_STARTER,SOLID_STARTER,8,0.137931,13.8%,up,1,yes
C,rostered_active,LOW_END_STARTER,LOW_END_STARTER,50,0.862069,86.2%,same,0,no
C,rostered_active,SPECIALIST_ROTATION,SPECIALIST_ROTATION,7,1,100.0%,same,0,no
C,rostered_active,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,26,1,100.0%,same,0,no
C,rostered_active,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,13,1,100.0%,same,0,no
C,rostered_active,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,9,1,100.0%,same,0,no
C,rostered_active,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,5,1,100.0%,same,0,no
C,rostered_active,MINIMUM_LEVEL,MINIMUM_LEVEL,298,1,100.0%,same,0,no
C,top15_roster_proxy,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
C,top15_roster_proxy,STAR_NEAR_MAX,STAR_NEAR_MAX,17,1,100.0%,same,0,no
C,top15_roster_proxy,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
C,top15_roster_proxy,LOW_END_STARTER,SOLID_STARTER,8,0.137931,13.8%,up,1,yes
C,top15_roster_proxy,LOW_END_STARTER,LOW_END_STARTER,50,0.862069,86.2%,same,0,no
C,top15_roster_proxy,SPECIALIST_ROTATION,SPECIALIST_ROTATION,7,1,100.0%,same,0,no
