pool,model,tier,count,tierMinCapPct,tierMidpointCapPct,tierMaxCapPct,totalImpliedMinCapPct,totalImpliedMidpointCapPct,totalImpliedMaxCapPct,impliedMidpointCapPctPer30Teams,deltaTotalMidpointCapPctVsCurrent
top15_roster_proxy,current,MINIMUM_LEVEL,270,1.839,1.977,2.115,496.618,533.885,571.151,17.796,0
top15_roster_proxy,current,__TOTAL__,431,4.517,5.356,6.195,1947.002,2308.575,2670.147,76.952,0
top15_roster_proxy,combined_v3_ab,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
top15_roster_proxy,combined_v3_ab,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
top15_roster_proxy,combined_v3_ab,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
top15_roster_proxy,combined_v3_ab,SOLID_STARTER,15,12,14.5,17,180,217.502,255.005,7.25,217.502
top15_roster_proxy,combined_v3_ab,LOW_END_STARTER,43,6,9,12,258,387,516,12.9,-135
top15_roster_proxy,combined_v3_ab,HIGH_END_ROTATION,32,7,9.5,12,224.01,304.005,384,10.134,304.005
top15_roster_proxy,combined_v3_ab,SPECIALIST_ROTATION,4,3.5,4.5,5.5,14.001,18.001,22.001,0.6,-13.5
top15_roster_proxy,combined_v3_ab,YOUNG_UPSIDE_SUSPECT,14,2.5,3.5,4.5,34.998,48.998,62.998,1.633,-38.498
top15_roster_proxy,combined_v3_ab,VETERAN_ROTATION_GUARD,4,4,5,6,16,20,24,0.667,-45
top15_roster_proxy,combined_v3_ab,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
top15_roster_proxy,combined_v3_ab,VETERAN_MINIMUM_PLUS,2,2.399,2.95,3.5,4.798,5.899,7,0.197,-8.739
top15_roster_proxy,combined_v3_ab,MINIMUM_LEVEL,264,1.838,1.976,2.113,485.134,521.539,557.944,17.385,-12.346
top15_roster_proxy,combined_v3_ab,__TOTAL__,431,5.031,5.979,6.927,2168.552,2576.999,2985.446,85.9,268.425
contract_relevant,current,STAR_NEAR_MAX,5,26.4,28.2,30,132.001,141.001,150,4.7,0
contract_relevant,current,YOUNG_PROVEN_STARTER,7,17,19.75,22.5,119.002,138.251,157.499,4.608,0
contract_relevant,current,LOW_END_STARTER,18,6,9,12,108,162,216,5.4,0
contract_relevant,current,SPECIALIST_ROTATION,6,3.5,4.5,5.5,21.001,27.001,33.001,0.9,0
contract_relevant,current,YOUNG_UPSIDE_SUSPECT,5,2.5,3.5,4.5,12.499,17.499,22.499,0.583,0
contract_relevant,current,VETERAN_ROTATION_GUARD,5,4,5,6,20,25,30,0.833,0
contract_relevant,current,LOW_ROTATION_PLUS,3,2,2.75,3.5,6,8.25,10.5,0.275,0
contract_relevant,current,VETERAN_MINIMUM_PLUS,3,2.326,2.913,3.5,6.977,8.739,10.5,0.291,0
contract_relevant,current,MINIMUM_LEVEL,270,1.812,1.948,2.085,489.363,526.089,562.815,17.536,0
contract_relevant,current,__TOTAL__,322,2.841,3.273,3.704,914.844,1053.83,1192.815,35.128,0
contract_relevant,combined_v3_ab,STAR_NEAR_MAX,5,26.4,28.2,30,132.001,141.001,150,4.7,0
contract_relevant,combined_v3_ab,YOUNG_PROVEN_STARTER,7,17,19.75,22.5,119.002,138.251,157.499,4.608,0
contract_relevant,combined_v3_ab,SOLID_STARTER,5,12,14.5,17,60,72.501,85.002,2.417,72.501
contract_relevant,combined_v3_ab,LOW_END_STARTER,13,6,9,12,78,117,156,3.9,-45
contract_relevant,combined_v3_ab,HIGH_END_ROTATION,10,7,9.5,12,70.003,95.002,120,3.167,95.002
contract_relevant,combined_v3_ab,SPECIALIST_ROTATION,5,3.5,4.5,5.5,17.501,22.501,27.501,0.75,-4.5
contract_relevant,combined_v3_ab,YOUNG_UPSIDE_SUSPECT,2,2.5,3.5,4.5,5,7,9,0.233,-10.5
contract_relevant,combined_v3_ab,VETERAN_ROTATION_GUARD,3,4,5,6,12,15,18,0.5,-10
contract_relevant,combined_v3_ab,LOW_ROTATION_PLUS,3,2,2.75,3.5,6,8.25,10.5,0.275,0
contract_relevant,combined_v3_ab,VETERAN_MINIMUM_PLUS,1,2.399,2.95,3.5,2.399,2.95,3.5,0.098,-5.789
contract_relevant,combined_v3_ab,MINIMUM_LEVEL,268,1.811,1.947,2.083,485.341,521.765,558.189,17.392,-4.324
contract_relevant,combined_v3_ab,__TOTAL__,322,3.066,3.544,4.022,987.247,1141.219,1295.191,38.041,87.39
