pool,model,tier,count,percentage,percentageText,avgAge,avgMPG,avgValue,avgValueNoPot,avgGetContractValue,avgPER,avgEWA,avgVORP,avgBPM
all_active,current,SUPERSTAR_MAX,3,0.004732,0.5%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
all_active,current,STAR_NEAR_MAX,19,0.029968,3.0%,25.737,35.837,68.416,68.255,68.317,24.252,12.848,5.901,7.672
all_active,current,YOUNG_PROVEN_STARTER,24,0.037855,3.8%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
all_active,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
all_active,current,LOW_END_STARTER,63,0.099369,9.9%,28.444,30.014,57.342,59.17,58.957,16.855,5.019,1.916,1.597
all_active,current,SPECIALIST_ROTATION,9,0.014196,1.4%,27,19.12,53.219,53.815,53.736,13.711,1.864,0.608,-0.704
all_active,current,YOUNG_UPSIDE_SUSPECT,26,0.041009,4.1%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
all_active,current,VETERAN_ROTATION_GUARD,14,0.022082,2.2%,30.643,25.325,52.529,56.291,55.794,17.041,3.6,1.859,3.105
all_active,current,LOW_ROTATION_PLUS,10,0.015773,1.6%,25.1,10.615,53.6,52.594,52.862,14.659,1.081,0.248,-0.614
all_active,current,VETERAN_MINIMUM_PLUS,6,0.009464,0.9%,32.167,20.423,51.537,55.905,55.381,15.305,2.305,0.505,-0.532
all_active,current,MINIMUM_LEVEL,460,0.725552,72.6%,26.222,10.697,46.806,45.442,45.967,8.808,0.159,-0.143,-4.448
all_active,V3-1B,SUPERSTAR_MAX,3,0.004732,0.5%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
all_active,V3-1B,STAR_NEAR_MAX,19,0.029968,3.0%,25.737,35.837,68.416,68.255,68.317,24.252,12.848,5.901,7.672
all_active,V3-1B,YOUNG_PROVEN_STARTER,24,0.037855,3.8%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
all_active,V3-1B,SOLID_STARTER,43,0.067823,6.8%,28.349,30.808,58.388,60.272,60.04,17.682,5.846,2.301,2.254
all_active,V3-1B,LOW_END_STARTER,20,0.031546,3.2%,28.65,28.306,55.092,56.8,56.628,15.078,3.24,1.089,0.183
all_active,V3-1B,SPECIALIST_ROTATION,9,0.014196,1.4%,27,19.12,53.219,53.815,53.736,13.711,1.864,0.608,-0.704
all_active,V3-1B,YOUNG_UPSIDE_SUSPECT,26,0.041009,4.1%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
all_active,V3-1B,VETERAN_ROTATION_GUARD,14,0.022082,2.2%,30.643,25.325,52.529,56.291,55.794,17.041,3.6,1.859,3.105
all_active,V3-1B,LOW_ROTATION_PLUS,10,0.015773,1.6%,25.1,10.615,53.6,52.594,52.862,14.659,1.081,0.248,-0.614
all_active,V3-1B,VETERAN_MINIMUM_PLUS,6,0.009464,0.9%,32.167,20.423,51.537,55.905,55.381,15.305,2.305,0.505,-0.532
all_active,V3-1B,MINIMUM_LEVEL,460,0.725552,72.6%,26.222,10.697,46.806,45.442,45.967,8.808,0.159,-0.143,-4.448
rostered_active,current,SUPERSTAR_MAX,3,0.006522,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
rostered_active,current,STAR_NEAR_MAX,17,0.036957,3.7%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
rostered_active,current,YOUNG_PROVEN_STARTER,24,0.052174,5.2%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
rostered_active,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
rostered_active,current,LOW_END_STARTER,58,0.126087,12.6%,28.552,29.953,57.208,59.047,58.834,16.784,4.954,1.856,1.487
rostered_active,current,SPECIALIST_ROTATION,7,0.015217,1.5%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
rostered_active,current,YOUNG_UPSIDE_SUSPECT,26,0.056522,5.7%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
rostered_active,current,VETERAN_ROTATION_GUARD,13,0.028261,2.8%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
rostered_active,current,LOW_ROTATION_PLUS,9,0.019565,2.0%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
rostered_active,current,VETERAN_MINIMUM_PLUS,5,0.01087,1.1%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
rostered_active,current,MINIMUM_LEVEL,298,0.647826,64.8%,26.138,12.954,49.796,48.518,49.015,10.352,0.313,-0.153,-3.86
rostered_active,V3-1B,SUPERSTAR_MAX,3,0.006522,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
rostered_active,V3-1B,STAR_NEAR_MAX,17,0.036957,3.7%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
rostered_active,V3-1B,YOUNG_PROVEN_STARTER,24,0.052174,5.2%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
rostered_active,V3-1B,SOLID_STARTER,38,0.082609,8.3%,28.5,30.82,58.322,60.23,59.996,17.682,5.856,2.259,2.174
rostered_active,V3-1B,LOW_END_STARTER,20,0.043478,4.3%,28.65,28.306,55.092,56.8,56.628,15.078,3.24,1.089,0.183
rostered_active,V3-1B,SPECIALIST_ROTATION,7,0.015217,1.5%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
rostered_active,V3-1B,YOUNG_UPSIDE_SUSPECT,26,0.056522,5.7%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
rostered_active,V3-1B,VETERAN_ROTATION_GUARD,13,0.028261,2.8%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
rostered_active,V3-1B,LOW_ROTATION_PLUS,9,0.019565,2.0%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
rostered_active,V3-1B,VETERAN_MINIMUM_PLUS,5,0.01087,1.1%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
rostered_active,V3-1B,MINIMUM_LEVEL,298,0.647826,64.8%,26.138,12.954,49.796,48.518,49.015,10.352,0.313,-0.153,-3.86
top15_roster_proxy,current,SUPERSTAR_MAX,3,0.006961,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
top15_roster_proxy,current,STAR_NEAR_MAX,17,0.039443,3.9%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
top15_roster_proxy,current,YOUNG_PROVEN_STARTER,24,0.055684,5.6%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
top15_roster_proxy,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
top15_roster_proxy,current,LOW_END_STARTER,58,0.134571,13.5%,28.552,29.953,57.208,59.047,58.834,16.784,4.954,1.856,1.487
top15_roster_proxy,current,SPECIALIST_ROTATION,7,0.016241,1.6%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
top15_roster_proxy,current,YOUNG_UPSIDE_SUSPECT,25,0.058005,5.8%,21.8,18.937,60.162,53.598,55.3,13.338,1.475,0.226,-1.546
top15_roster_proxy,current,VETERAN_ROTATION_GUARD,13,0.030162,3.0%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
top15_roster_proxy,current,LOW_ROTATION_PLUS,9,0.020882,2.1%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
top15_roster_proxy,current,VETERAN_MINIMUM_PLUS,5,0.011601,1.2%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
top15_roster_proxy,current,MINIMUM_LEVEL,270,0.62645,62.6%,26.548,13.815,50.096,49.515,49.832,10.522,0.349,-0.163,-3.772
top15_roster_proxy,V3-1B,SUPERSTAR_MAX,3,0.006961,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
top15_roster_proxy,V3-1B,STAR_NEAR_MAX,17,0.039443,3.9%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
top15_roster_proxy,V3-1B,YOUNG_PROVEN_STARTER,24,0.055684,5.6%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
top15_roster_proxy,V3-1B,SOLID_STARTER,38,0.088167,8.8%,28.5,30.82,58.322,60.23,59.996,17.682,5.856,2.259,2.174
top15_roster_proxy,V3-1B,LOW_END_STARTER,20,0.046404,4.6%,28.65,28.306,55.092,56.8,56.628,15.078,3.24,1.089,0.183
top15_roster_proxy,V3-1B,SPECIALIST_ROTATION,7,0.016241,1.6%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
top15_roster_proxy,V3-1B,YOUNG_UPSIDE_SUSPECT,25,0.058005,5.8%,21.8,18.937,60.162,53.598,55.3,13.338,1.475,0.226,-1.546
top15_roster_proxy,V3-1B,VETERAN_ROTATION_GUARD,13,0.030162,3.0%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
top15_roster_proxy,V3-1B,LOW_ROTATION_PLUS,9,0.020882,2.1%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
top15_roster_proxy,V3-1B,VETERAN_MINIMUM_PLUS,5,0.011601,1.2%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
top15_roster_proxy,V3-1B,MINIMUM_LEVEL,270,0.62645,62.6%,26.548,13.815,50.096,49.515,49.832,10.522,0.349,-0.163,-3.772
contract_relevant,current,SUPERSTAR_MAX,0,0,0.0%,,,,,,,,,
contract_relevant,current,STAR_NEAR_MAX,5,0.015528,1.6%,27,34.581,65.824,67.467,67.266,24.118,12.018,5.52,7.556
contract_relevant,current,YOUNG_PROVEN_STARTER,7,0.021739,2.2%,23.429,32.944,65.625,62.331,62.99,19.762,8.305,2.577,2.339
contract_relevant,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
contract_relevant,current,LOW_END_STARTER,18,0.055901,5.6%,29.889,30.085,56.672,59.525,59.167,17.077,5.089,2.108,2.072
contract_relevant,current,SPECIALIST_ROTATION,6,0.018634,1.9%,26.333,18.895,53.293,53.531,53.483,13.33,1.384,0.336,-1.015
contract_relevant,current,YOUNG_UPSIDE_SUSPECT,5,0.015528,1.6%,22,21.526,61.563,55.476,56.979,15.168,2.638,0.713,-0.373
contract_relevant,current,VETERAN_ROTATION_GUARD,5,0.015528,1.6%,30.6,24.544,53.959,57.846,57.338,18.531,3.553,1.98,4.79
contract_relevant,current,LOW_ROTATION_PLUS,3,0.009317,0.9%,24,7.72,53.064,50.84,51.436,16.543,1.312,0.327,0.251
contract_relevant,current,VETERAN_MINIMUM_PLUS,3,0.009317,0.9%,31,20.678,52.202,56.317,55.824,15.991,2.997,0.824,0.184
contract_relevant,current,MINIMUM_LEVEL,270,0.838509,83.9%,26.637,8.076,43.837,42.645,43.157,7.452,-0.059,-0.148,-4.969
contract_relevant,V3-1B,SUPERSTAR_MAX,0,0,0.0%,,,,,,,,,
contract_relevant,V3-1B,STAR_NEAR_MAX,5,0.015528,1.6%,27,34.581,65.824,67.467,67.266,24.118,12.018,5.52,7.556
contract_relevant,V3-1B,YOUNG_PROVEN_STARTER,7,0.021739,2.2%,23.429,32.944,65.625,62.331,62.99,19.762,8.305,2.577,2.339
contract_relevant,V3-1B,SOLID_STARTER,12,0.037267,3.7%,29.5,30.893,57.818,60.7,60.312,18.325,6.316,2.583,2.847
contract_relevant,V3-1B,LOW_END_STARTER,6,0.018634,1.9%,30.667,28.469,54.38,57.176,56.877,14.582,2.635,1.158,0.522
contract_relevant,V3-1B,SPECIALIST_ROTATION,6,0.018634,1.9%,26.333,18.895,53.293,53.531,53.483,13.33,1.384,0.336,-1.015
contract_relevant,V3-1B,YOUNG_UPSIDE_SUSPECT,5,0.015528,1.6%,22,21.526,61.563,55.476,56.979,15.168,2.638,0.713,-0.373
contract_relevant,V3-1B,VETERAN_ROTATION_GUARD,5,0.015528,1.6%,30.6,24.544,53.959,57.846,57.338,18.531,3.553,1.98,4.79
contract_relevant,V3-1B,LOW_ROTATION_PLUS,3,0.009317,0.9%,24,7.72,53.064,50.84,51.436,16.543,1.312,0.327,0.251
contract_relevant,V3-1B,VETERAN_MINIMUM_PLUS,3,0.009317,0.9%,31,20.678,52.202,56.317,55.824,15.991,2.997,0.824,0.184
contract_relevant,V3-1B,MINIMUM_LEVEL,270,0.838509,83.9%,26.637,8.076,43.837,42.645,43.157,7.452,-0.059,-0.148,-4.969
